time start,time middle,time end,type,from lane,to lane,total lanes,direction,multiple lanes,t_lc,frame_number,section,road type
,00.05.27.471,,entry,4,3,4,left,FALSE,327.471,9814,A,straight
,00.05.37.123,,,3,2,3,left,FALSE,337.123,10104,A,straight
,00.06.00.470,,,2,3,3,right,FALSE,360.47,10803,A,straight
,00.06.12.715,,,3,2,3,left,FALSE,372.715,11170,A,straight
,00.06.19.088,,,2,1,4,left,FALSE,379.088,11361,A,straight
,00.06.54.917,,,1,2,3,right,FALSE,414.917,12435,A,straight
,00.07.45.327,,,2,3,3,right,FALSE,465.327,13946,A,straight
,00.08.01.052,,,3,2,3,left,FALSE,481.052,14417,A,straight
,00.09.19.332,,,2,1,3,left,FALSE,559.332,16763,A,straight
09.49.588,00.09.54.605,09.59.055,,1,3,4,right,TRUE,594.605,17820,A,straight
10.03.04,00.10.05.039,10.09.038,,1,2,2,right,FALSE,605.039,18133,A,straight
10.12.938,00.10.14.868,10.15.279 ,exit,2,3,3,right,FALSE,614.868,18428,A,straight
30.30.381,00.30.32.865,30.35.676,,3,2,5,left,FALSE,1832.865,54931,E,straight
30.37.880,00.30.39.339,30.41.235,,2,1,5,left,FALSE,1839.339,55125,E,straight
31.02.813,00.31.04.259,31.06.887,,1,2,2,right,FALSE,1864.259,55872,E,straight
31.17.291,00.31.19.149,21.21.119,,3,2,3,left,FALSE,1879.149,56318,F,curve
32.02.053,00.32.07.174,32.10.867,,4,2,4,left,TRUE,1927.174,57757,G,straight
33.14.687,00.33.16.526,33.19.500,,1,2,3,right,FALSE,1996.526,59836,G,straight
33.31.978,00.33.33.806,33.35.940,,2,3,3,right,FALSE,2013.806,60354,G,straight
34.21.991,00.34.24.400,34.27.256,,3,2,3,left,FALSE,2064.4,61870,G,straight
34.32.638,00.34.33.817,34.35.635,,2,3,3,right,FALSE,2073.817,62152,G,straight
25.28.185,00.35.29.632,35.31.722,,3,2,3,left,FALSE,2129.632,63825,G,straight
35.52.514,00.35.54.990,35.57.230,,2,1,4,left,FALSE,2154.99,64585,G,straight
36.01.236,00.36.03.548,36.06.118,,1,2,4,right,FALSE,2163.548,64842,G,straight
,00.36.14.337,,,2,3,5,right,FALSE,2174.37,64841,G,straight
,00.36.38.503,,,3,2,5,left,FALSE,2198.503,65165,G,straight
,00.36.55.278,,,2,3,4,right,FALSE,2215.278,66392,G,straight
,00.37.12.817,,,3,2,,left,FALSE,2232.817,66918,G,straight
,00.37.33.513,,,1,2,3,right,FALSE,2253.513,67538,G,straight
,00.37.37.590,,,2,3,3,right,FALSE,2257.59,67660,G,straight
,00.38.04.892,,,3,2,3,left,FALSE,2284.892,68478,G,straight
,00.38.27.688,,,2,3,4,right,FALSE,2307.688,69161,G,straight
,00.38.59.481,,,3,4,6,right,FALSE,2339.481,70114,G,straight
,00.39.35.218,,,4,5,5,right,FALSE,2375.218,71185,G,straight
,00.40.22.504,,curve,2,1,2,left,FALSE,2422.504,72603,H,curve
,00.40.38.801,,curve,1,2,2,right,FALSE,2438.801,73091,H,curve
,00.40.48.528,,,2,1,3,left,FALSE,2448.528,73382,I,straight
,00.40.56.536,,,2,1,,left,FALSE,2456.536,73622,I,straight
,00.41.15.911,,entry,3,2,3,left,FALSE,2475.911,74203,I,straight
,00.42.23.501,,,2,1,3,left,FALSE,2543.501,76229,I,straight
,00.42.48.479,,,1,2,3,right,FALSE,2568.479,76977,I,straight
,00.43.40.025,,,2,1,3,left,FALSE,2620.025,78522,I,straight
,00.43.52.030,,,1,2,3,right,FALSE,2632.03,78882,I,straight
,00.44.22.093,,,2,1,3,left,FALSE,2662.093,79783,I,straight
,00.44.50.546,,,1,2,3,right,FALSE,2690.546,80636,I,straight
,00.44.55.049,,,2,3,3,right,FALSE,2695.049,80771,I,straight
,00.44.58.953,,,3,2,,left,FALSE,2698.953,80888,I,straight
,00.48.37.511,,low speed,2,1,3,left,FALSE,2917.511,87438,I,straight
,00.48.57.362,,low speed,1,2,2,right,FALSE,2937.362,88033,I,straight
,00.49.31.889,,curve,2,1,2,left,FALSE,2971.889,89068,J,curve
,00.49.49.429,,,1,2,2,right,FALSE,2989.429,89593,K,straight
,00.50.04.220,,,2,1,2,left,FALSE,3004.22,90037,K,straight
,00.50.18.449,,,3,4,4,right,FALSE,3018.449,90463,K,straight
,00.53.44.053,,,3,2,3,left,FALSE,3224.053,96625,K,straight
,00.54.05.965,,,2,3,4,right,FALSE,3245.965,97282,K,straight
,00.58.44.906,,,2,3,3,right,FALSE,3524.906,105642,M,straight
,01.00.10.421,,,3,4,5,right,FALSE,3610.421,108204,M,straight
,01.00.21.345,,,4,5,5,right,FALSE,3621.345,108532,M,straight
