time start,time middle,from lane,to lane,total lanes,type,direction,multiple lanes,t_lc,frame_number
,00.07.35.507,2.0,3.0,4.0,,right,False,455.507,13652
,00.07.56.167,3.0,2.0,3.0,,left,False,476.167,14271
,00.08.28.624,2.0,3.0,4.0,,right,False,508.624,15243
,00.08.43.250,3.0,2.0,3.0,,left,False,523.25,15682
,00.08.57.831,2.0,3.0,3.0,,right,False,537.831,16119
,00.09.35.523,3.0,2.0,3.0,,left,False,575.523,17248
,00.10.07.758,2.0,3.0,3.0,,right,False,607.758,18215
,00.10.34.068,3.0,2.0,3.0,,left,False,634.068,19003
,00.10.57.824,2.0,3.0,3.0,,right,False,657.824,19715
,00.11.29.248,3.0,2.0,3.0,,left,False,689.248,20657
,00.11.45.292,,,,aborted,left,False,705.292,21138
,00.12.00.809,2.0,3.0,4.0,,right,False,720.809,21603
,00.12.24.264,1.0,2.0,2.0,,right,False,744.264,22306
,00.13.21.426,3.0,2.0,3.0,,left,False,801.426,24019
,00.13.29.362,2.0,3.0,3.0,,right,False,809.362,24257
,00.13.38.973,3.0,2.0,4.0,,left,False,818.973,24545
,00.13.44.552,2.0,1.0,3.0,,left,False,824.552,24712
,00.13.52.259,1.0,2.0,3.0,,right,False,832.259,24943
,00.14.10.942,2.0,3.0,3.0,,right,False,850.942,25503
,00.14.33.395,3.0,2.0,4.0,,left,False,873.395,26176
,00.14.53.156,2.0,3.0,3.0,,right,False,893.156,26768
,00.15.04.608,3.0,4.0,4.0,,right,False,904.608,27111
,00.15.24.806,4.0,3.0,4.0,,left,False,924.806,27716
,00.15.54.656,1.0,2.0,2.0,,right,False,954.656,28611
,00.16.43.690,2.0,1.0,2.0,,left,False,1003.69,30081
,00.16.58.404,3.0,2.0,5.0,,left,False,1018.404,30522
,00.17.19.719,2.0,1.0,2.0,,left,False,1039.719,31160
,00.17.49.510,1.0,2.0,2.0,,right,False,1069.51,32053
,00.19.37.053,2.0,1.0,5.0,,left,False,1177.053,35276
,00.20.07.445,2.0,3.0,2.0,,right,False,1207.445,36187
,00.21.21.730,2.0,1.0,3.0,,left,False,1281.73,38413
,00.21.54.243,1.0,2.0,2.0,,right,False,1314.243,39388
,00.22.12.191,2.0,1.0,2.0,,left,False,1332.191,39926
,00.22.54.295,2.0,1.0,2.0,,left,False,1374.295,41188
,00.24.35.317,5.0,4.0,5.0,,left,False,1475.317,44215
,00.25.06.960,4.0,3.0,5.0,,left,False,1506.96,45164
,00.15.58.230,2.0,1.0,3.0,,left,False,958.23,28718
,00.23.37.694,1.0,2.0,4.0,,right,False,1417.694,42488
,00.26.58.765,2.0,3.0,6.0,,right,False,1618.765,48514
,00.27.07.504,3.0,4.0,6.0,,right,False,1627.504,48776
,00.27.14.632,4.0,5.0,6.0,,right,False,1634.632,48990
,00.27.19.741,1.0,2.0,2.0,,right,False,1639.741,49143
,00.28.32.584,2.0,3.0,3.0,,right,False,1712.584,51326
,00.30.07.573,3.0,2.0,3.0,,left,False,1807.573,54173
,00.30.31.901,2.0,1.0,3.0,,left,False,1831.901,54902
,00.30.51.562,1.0,2.0,2.0,,right,False,1851.562,55491
,00.31.21.527,2.0,1.0,2.0,,left,False,1881.527,56389
,00.31.36.591,1.0,2.0,2.0,,right,False,1896.591,56841
,00.32.21.073,2.0,1.0,3.0,,left,False,1941.073,58174
,00.32.33.242,1.0,2.0,3.0,,right,False,1953.242,58539
,00.32.47.803,2.0,1.0,3.0,,left,False,1967.803,58975
,00.32.58.356,1.0,2.0,2.0,,right,False,1978.356,59291
,00.33.45.405,2.0,1.0,2.0,,left,False,2025.405,60701
,00.33.55.246,1.0,2.0,3.0,,right,False,2035.246,60996
,00.34.12.814,5.0,4.0,5.0,,left,False,2052.814,61523
,00.34.19.015,4.0,3.0,5.0,,left,False,2059.015,61709
,00.34.53.629,3.0,2.0,3.0,,left,False,2093.629,62746
,00.35.46.002,2.0,1.0,2.0,,left,False,2146.002,64316
,00.36.37.071,3.0,2.0,4.0,,left,False,2197.071,65846
,00.36.49.915,1.0,2.0,3.0,,right,False,2209.915,66231
,00.36.58.838,2.0,3.0,3.0,,right,False,2218.838,66499
,00.37.34.386,3.0,2.0,3.0,,left,False,2254.386,67564
,00.37.54.726,2.0,1.0,3.0,,left,False,2274.726,68174
,00.38.04.224,1.0,2.0,3.0,,right,False,2284.224,68458
,00.39.25.330,2.0,3.0,3.0,,right,False,2365.33,70889
,00.39.33.839,3.0,4.0,4.0,,right,False,2373.839,71144
,00.40.12.457,2.0,1.0,3.0,,left,False,2412.457,72301
,00.41.05.412,2.0,3.0,3.0,,right,False,2465.412,73888
,00.41.31.036,3.0,2.0,3.0,,left,False,2491.036,74656
,00.42.05.361,2.0,1.0,4.0,,left,False,2525.361,75685
,00.42.46.825,1.0,2.0,4.0,,right,False,2566.825,76928
,00.43.06.327,3.0,4.0,3.0,,right,False,2586.327,77512
,00.43.31.545,3.0,2.0,3.0,,left,False,2611.545,78268
,00.43.57.214,2.0,3.0,3.0,,right,False,2637.214,79037
,00.44.14.973,3.0,2.0,2.0,,left,False,2654.973,79570
,00.44.26.204,2.0,1.0,3.0,,left,False,2666.204,79906
,00.45.30.380,1.0,4.0,5.0,,right,True,2730.38,81830
