time start,time middle,from lane,to lane,total lanes,type,direction,multiple lanes,t_lc,frame_number,section,road type
,00.03.28.089,3,2,4,,left,False,208.089,6236,A,straight
,00.03.54.545,2,3,3,,right,False,234.545,7029,A,straight
,00.04.08.921,3,2,3,,left,False,248.921,7460,A,straight
,00.04.34.390,2,3,3,,right,False,274.39,8223,A,straight
,00.04.47.672,3,2,3,,left,False,287.672,8622,A,straight
,00.05.07.807,2,3,3,,right,False,307.807,9225,A,straight
,00.05.31.851,3,2,3,,left,False,331.851,9946,A,straight
,00.05.53.236,2,3,3,,right,False,353.236,10586,A,straight
,00.05.59.639,3,2,4,,left,False,359.639,10778,A,straight
,00.06.52.610,2,3,3,,right,False,412.61,12366,A,straight
,00.07.11.061,3,2,3,,left,False,431.061,12919,A,straight
,00.07.30.467,2,3,4,,right,False,450.467,13501,A,straight
,00.07.57.600,1,2,2,,right,False,477.6,14314,A,straight
,00.09.15.176,3,2,3,,left,False,555.176,16639,C,straight
,00.09.50.097,2,3,3,,right,False,590.097,17685,C,straight
,00.10.16.871,3,2,3,,left,False,616.871,18488,C,straight
,00.10.26.498,2,3,3,,right,False,626.498,18776,C,straight
,00.10.32.573,3,2,3,,left,False,632.573,18958,C,straight
,00.10.53.073,2,4,4,,right,True,653.073,19573,C,straight
,00.11.08.984,4,3,4,,left,False,668.984,20049,C,straight
,00.11.31.013,1,2,2,,right,False,691.013,20710,C,straight
,00.12.03.717,2,1,2,,left,False,723.717,21690,D,curve
,00.12.15.849,1,2,2,,right,False,735.849,22053,D,curve
,00.12.34.748,4,3,5,,left,False,754.748,22620,E,straight
,00.12.40.705,3,1,5,,left,True,760.705,22798,E,straight
,00.13.05.250,1,2,2,,right,False,785.25,23534,E,straight
,00.13.29.780,2,1,2,,left,False,809.78,24269,E,straight
,00.14.53.566,1,2,2,,right,False,893.566,26780,E,straight
,00.16.43.920,4,3,4,,left,False,1003.92,30088,G,straight
,00.16.52.523,3,4,4,,right,False,1012.523,30345,G,straight
,00.17.00.665,3,2,3,,left,False,1020.665,30589,G,straight
,00.17.11.481,2,3,3,,right,False,1031.481,30914,G,straight
,00.17.20.918,3,2,3,,left,False,1040.918,31196,G,straight
,00.18.08.578,2,3,3,,right,False,1088.578,32625,G,straight
,00.18.22.503,3,2,3,,left,False,1102.503,33042,G,straight
,00.18.32.597,2,1,3,,left,False,1112.597,33345,G,straight
,00.18.41.895,1,2,4,,right,False,1121.895,33623,G,straight
,00.18.59.502,2,3,3,,right,False,1139.502,34151,G,straight
,00.19.13.731,3,2,3,,left,False,1153.731,34577,G,straight
,00.19.49.549,2,3,5,,right,False,1189.549,35651,G,straight
,00.20.16.992,3,2,5,,left,False,1216.992,36473,G,straight
,00.20.45.205,2,3,4,,right,False,1245.205,37319,G,straight
,00.21.08.780,2,1,3,,left,False,1268.78,38025,G,straight
,00.21.30.128,1,2,3,,right,False,1290.128,38665,G,straight
,00.21.58.078,2,3,6,,right,False,1318.078,39503,G,straight
,00.22.30.387,3,4,4,,right,False,1350.387,40471,G,straight
,00.22.50.975,4,5,5,,right,False,1370.975,41088,G,straight
,00.23.26.432,2,1,2,,left,False,1406.432,42151,G,straight
,00.23.39.026,1,2,2,,right,False,1419.026,42528,H,curve
,00.24.07.947,2,1,3,,left,False,1447.947,43395,I,straight
,00.24.12.069,1,2,2,,right,False,1452.069,43519,I,straight
,00.24.33.082,3,2,2,,left,False,1473.082,44148,I,straight
,00.24.44.242,2,1,3,,left,False,1484.242,44483,I,straight
,00.25.05.896,1,2,3,,right,False,1505.896,45132,I,straight
,00.25.35.501,2,1,1,,left,False,1535.501,46019,I,straight
,00.26.00.878,1,2,2,,right,False,1560.878,46780,I,straight
,00.26.42.475,2,1,3,,left,False,1602.475,48026,I,straight
,00.27.25.571,1,2,3,,right,False,1645.571,49318,I,straight
,00.29.02.203,2,3,5,,right,False,1742.203,52214,I,straight
,00.29.18.090,3,1,5,,left,True,1758.09,52690,I,straight
,00.29.42.675,1,2,2,,right,False,1782.675,53427,I,straight
,00.30.11.631,2,1,2,,left,False,1811.631,54295,J,curve
,00.30.51.162,1,2,2,,right,False,1851.162,55479,K,straight
,00.31.03.368,4,3,4,,left,False,1863.368,55845,K,straight
,00.31.45.583,2,1,3,,left,False,1905.583,57110,K,straight
,00.31.57.378,1,2,3,,right,False,1917.378,57464,K,straight
,00.32.42.163,2,1,3,,left,False,1962.163,58806,K,straight
,00.33.49.098,1,2,3,,right,False,2029.098,60812,K,straight
,00.34.30.502,2,3,4,,right,False,2070.502,62053,K,straight
,00.24.40.269,3,4,4,,right,False,1480.269,44364,I,straight
,00.34.57.586,2,1,2,,left,False,2097.586,62865,K,straight
,00.35.06.653,1,2,2,,right,False,2106.653,63136,K,straight
,00.35.41.688,2,1,2,,left,False,2141.688,64186,M,straight
,00.36.16.211,2,1,2,,left,False,2176.211,65221,M,straight
,00.36.59.010,1,2,4,,right,False,2219.01,66504,M,straight
,00.38.38.567,2,1,3,,left,False,2318.567,69488,M,straight
,00.39.05.414,1,2,3,,right,False,2345.414,70292,M,straight
,00.39.47.164,2,3,5,,right,False,2387.164,71543,M,straight
,00.40.19.338,3,4,5,,right,False,2419.338,72508,M,straight
,00.40.25.099,4,5,5,,right,False,2425.099,72680,M,straight
