lon,lat,strategy metric,chunk_match_ix,order,x,y,distance,bearing
4.383472,51.992925,0.979484,0,63,86062.42849,445424.7193,,
4.383406,51.993024,0.979484,0,65,86058.04791,445435.7956,11.91186343,-22.36980428
4.383328,51.993139,0.979484,0,67,86052.86782,445448.6634,13.87212265,-22.71955828
4.38325,51.993256,0.979484,0,69,86047.69084,445461.7537,14.07764712,-22.36969861
4.38319,51.993419,0.979484,0,72,86043.82081,445479.9445,18.59891899,-12.80228288
4.38309,51.993573,0.979484,0,74,86037.18987,445497.1719,18.46060269,-21.84383335
4.383033,51.993661,0.979484,0,75,86033.4106,445507.016,10.54526498,-21.79430979
4.382923,51.993809,0.979484,0,77,86026.08375,445523.5855,18.11816396,-24.64654532
4.382837,51.993925,0.979484,0,78,86020.35596,445536.5721,14.19452924,-24.59200479
4.382749,51.994043,0.979484,0,79,86014.49393,445549.7832,14.45407738,-24.72000493
4.382678,51.99414,0.979484,0,80,86009.76712,445560.6419,11.84357071,-24.3157997
4.382612,51.994228,0.979484,0,81,86005.36987,445570.4946,10.79003947,-24.84345484
4.382535,51.994331,0.979484,0,84,86000.24028,445582.0265,12.62204127,-24.77266883
4.382465,51.99442,0.979484,0,86,85995.5699,445591.9943,11.00829801,-25.89777002
4.382733,51.994486,0.979484,0,89,86014.07659,445599.0822,19.81875043,68.25097451
4.382993,51.99455,0.979484,0,91,86032.03075,445605.9554,19.22589148,68.26014255
4.383242,51.994612,0.979484,0,93,86049.22636,445612.6165,18.44177691,68.03287607
4.383477,51.994669,0.979484,0,94,86065.45277,445618.7347,17.34255556,68.54902348
4.383692,51.994722,0.979484,0,95,86080.29948,445624.427,15.90145135,68.23143551
4.383918,51.994778,0.979484,0,96,86095.90619,445630.4426,16.7269225,68.12933704
4.384132,51.994831,0.979484,0,97,86110.68416,445636.1359,15.83765062,68.13923505
4.38435,51.994884,0.979484,0,98,86125.73679,445641.8255,16.09294694,68.50343546
4.384559,51.994936,0.979484,0,99,86140.16978,445647.4123,15.47747398,68.04808614
4.384831,51.995003,0.979484,0,100,86158.95229,445654.6083,20.11496867,68.24635065
4.385026,51.995051,0.979484,0,101,86172.41761,445659.7635,14.4192777,68.25994292
4.385218,51.995097,0.979484,0,103,86185.67381,445664.6991,14.14603911,68.7880264
4.385389,51.995136,0.979484,0,104,86197.47706,445668.8759,12.52121216,69.72252893
4.385609,51.995186,0.979484,0,106,86212.66224,445674.2301,16.10239305,69.78764479
4.385779,51.995225,0.979484,0,108,86224.39678,445678.4079,12.45678447,69.61300387
4.385958,51.995267,0.979484,0,111,86236.75397,445682.9109,13.15286549,69.18804206
4.386106,51.995303,0.979484,0,113,86246.97302,445686.7759,10.92614524,68.49331429
4.386314,51.99535,0.979484,0,115,86261.3294,445691.8078,15.21357356,69.89482727
4.386465,51.995385,0.979484,0,116,86271.7529,445695.5587,11.07849214,69.41939115
4.386654,51.995407,0.979484,0,118,86284.7661,445697.8274,13.2102555,79.32121591
4.386867,51.995424,0.979484,0,119,86299.41982,445699.5172,14.75168647,82.63284881
4.387088,51.995441,0.979484,0,120,86314.62292,445701.1994,15.29678734,82.89674975
4.387297,51.995457,0.979484,0,122,86329.00038,445702.7819,14.46513143,82.9303936
4.38752,51.995457,0.979484,0,124,86344.31478,445702.5711,15.31674787,89.99991214
4.387768,51.995453,0.979484,0,125,86361.33992,445701.8917,17.03968632,91.49661292
4.387965,51.995441,0.979484,0,127,86374.85043,445700.3706,13.59665996,95.6355146
4.388141,51.995418,0.979484,0,129,86386.90194,445697.6456,12.35647846,101.9529602
4.388318,51.995381,0.979484,0,131,86399.00073,445693.3622,12.83540497,108.7079008
4.388488,51.995317,0.979484,0,135,86410.57751,445686.0816,13.67662786,121.3776043
4.388672,51.995164,0.979484,0,138,86422.97967,445668.8866,21.20222439,143.4106932
4.388755,51.995031,0.979484,0,140,86428.47631,445654.012,15.85866293,158.9316027
4.388838,51.9949,0.979484,0,142,86433.97605,445639.3599,15.6512146,158.6386914
4.388927,51.994757,0.979971,1,143,86439.86952,445623.3671,17.0451223,158.9833214
4.389027,51.994597,0.979971,1,144,86446.49248,445605.4727,19.0818281,158.9024743
4.389107,51.994469,0.979971,1,145,86451.79088,445591.1572,15.2654685,158.90242
4.38923,51.994273,0.979971,1,147,86459.93846,445569.2361,23.38764311,158.8238375
4.389368,51.994052,0.979971,1,148,86469.07806,445544.5196,26.35372285,158.9196525
4.389481,51.993871,0.979971,1,149,86476.56194,445524.2767,21.58327123,158.9234248
4.389594,51.993691,0.979971,1,150,86484.04742,445504.1451,21.47949563,158.8166124
4.389706,51.993512,0.979971,1,151,86491.46581,445484.1256,21.35095019,158.8805089
4.389793,51.993373,0.979971,1,152,86497.22842,445468.5798,16.58048679,158.8742652
4.389899,51.993203,0.979971,1,153,86504.2486,445449.5673,20.26834444,158.947161
4.390007,51.993023,0.979971,1,155,86511.39092,445429.4405,21.35783028,159.6754393
4.390117,51.992831,0.979971,1,156,86518.65233,445407.9767,22.660109,160.5222923
4.390256,51.992588,0.979971,1,157,86527.82763,445380.8119,28.67420826,160.5504986
4.39037,51.992389,0.979971,1,159,86535.35322,445358.5657,23.48604418,160.5237591
4.390457,51.992238,0.979971,1,160,86541.0978,445341.6849,17.83249866,160.4201859
4.390573,51.992037,0.979971,1,161,86548.75782,445319.2143,23.74173356,160.3901075
4.390726,51.99177,0.979971,1,162,86558.85836,445289.3663,31.5125049,160.518182
4.390857,51.991543,0.979971,1,163,86567.50908,445263.9891,26.81271928,160.3905939
4.390975,51.991337,0.979971,1,164,86575.29908,445240.9604,24.31201552,160.5248675
4.391071,51.99117,0.979971,1,165,86581.63767,445222.2912,19.71705822,160.4608528
4.391188,51.990966,0.979971,1,166,86589.36217,445199.486,24.07933441,160.5022761
4.391266,51.990831,0.979971,1,167,86594.51341,445184.3938,15.94805266,160.3688003
4.391307,51.990738,0.979971,1,168,86597.18751,445174.0089,10.72426817,164.774572
4.391407,51.990508,0.979971,1,169,86603.70493,445148.3272,26.49733453,164.9748383
4.391534,51.990217,0.979971,1,170,86611.98382,445115.8338,33.53343212,164.9205296
4.391636,51.989984,0.979971,1,171,86618.63419,445089.8165,26.8553988,164.8762026
4.391737,51.989753,0.979971,1,172,86625.219,445064.0227,26.62265931,164.893891
4.391795,51.989621,0.979971,1,173,86629.0014,445049.2831,15.21807861,164.8225081
4.391838,51.989521,0.979971,1,174,86631.80235,445038.1176,11.51212292,165.1324443
4.391939,51.989291,0.979971,1,175,86638.38883,445012.435,26.51526959,164.8310824
4.392012,51.989122,0.979971,1,176,86643.14518,444993.565,19.46132597,165.0678106
4.392104,51.988911,0.979971,1,177,86649.14258,444970.0047,24.31312857,164.9335373
4.392225,51.988633,0.979971,1,178,86657.0298,444938.9633,32.02961648,164.9587536
4.392322,51.988412,0.979971,1,179,86663.35552,444914.2857,25.47688681,164.8379283
4.392418,51.988191,0.979971,1,180,86669.61263,444889.6092,25.45901335,164.9870763
4.392488,51.98803,0.979971,1,181,86674.17536,444871.632,18.54819651,164.9740411
4.39258,51.987818,0.979971,1,182,86680.17154,444847.9605,24.42062359,165.0010446
4.392677,51.987596,0.979971,1,183,86686.49598,444823.1717,25.58432549,164.902838
4.392721,51.987495,0.979971,1,184,86689.36437,444811.8941,11.63738409,164.9454642
4.392795,51.987324,0.979971,1,185,86694.18678,444792.8007,19.69409546,165.0409535
4.392882,51.987125,0.979971,1,186,86699.85952,444770.5802,22.93459895,164.8944756
4.392969,51.986913,0.979971,1,189,86705.51252,444746.9133,24.33401802,165.7819894
4.393063,51.986694,0.979971,1,190,86711.63573,444722.4612,25.20864616,165.1571969
4.393162,51.986464,0.979971,1,191,86718.08571,444696.7806,26.4797499,165.117101
4.39326,51.986235,0.979971,1,192,86724.46859,444671.2122,26.35460565,165.1992411
4.393318,51.986099,0.979971,1,193,86728.24553,444656.0277,15.64812762,165.2480506
4.393408,51.985885,0.979971,1,194,86734.10183,444632.1356,24.60081418,165.4436687
4.393513,51.985634,0.979971,1,195,86740.93224,444604.1131,28.8445763,165.5176549
4.393613,51.985394,0.979971,1,196,86747.43601,444577.3191,27.57364754,165.5726471
4.393709,51.985164,0.979971,1,197,86753.68031,444551.6414,26.4276083,165.5485346
4.393835,51.984864,0.979971,1,198,86761.87891,444518.148,34.48426181,165.4619345
4.393936,51.984623,0.979971,1,199,86768.45009,444491.2419,27.69857612,165.4921234
4.394032,51.984392,0.979971,1,200,86774.6931,444465.4529,26.53539425,165.6082524
4.394133,51.984152,0.979971,1,201,86781.26594,444438.658,27.59088731,165.4340925
4.394231,51.983922,0.979971,1,204,86787.648,444412.9785,26.46227463,165.2600531
4.394273,51.983822,0.979971,1,205,86790.38101,444401.8141,11.49477026,165.4616108
