lon,lat,order,x,y,distance,bearing
4.392218,51.98865,13,86656.57491,444940.8611,,
4.392303,51.988454,14,86662.11449,444918.9761,22.57653277,165.0107813
4.392389,51.988257,15,86667.72129,444896.9789,22.70181831,164.9158704
4.392475,51.98806,16,86673.32815,444874.9818,22.70182434,164.9158068
4.392561,51.987863,17,86678.93505,444852.9846,22.70183038,164.9157431
4.392647,51.987663,18,86684.53744,444830.6537,23.02430025,165.1318507
4.392734,51.987464,19,86690.21009,444808.4331,22.93458843,164.8945853
4.392821,51.987266,20,86695.88431,444786.3238,22.82719041,164.8217422
4.392888,51.987111,21,86700.25032,444769.017,17.8500309,165.0570811
4.392989,51.986868,24,86706.81775,444741.8883,27.91399382,165.607245
4.393075,51.986667,25,86712.41888,444719.4461,23.13188943,165.2022522
4.393161,51.986466,26,86718.02007,444697.004,23.13189545,165.2021884
4.393247,51.986265,27,86723.6213,444674.5619,23.13190146,165.2021245
4.393318,51.986099,28,86728.24553,444656.0277,19.10352654,165.2070277
4.393419,51.985858,30,86734.81632,444629.1215,27.69853379,165.4925085
4.393507,51.985646,31,86740.53836,444605.4538,24.35101948,165.6249081
4.393597,51.985433,32,86746.39631,444581.6729,24.49314856,165.3781095
4.393687,51.985217,33,86752.24976,444557.5583,24.81628852,165.5725924
4.393778,51.984999,34,86758.16892,444533.2203,25.04893091,165.5471602
4.39387,51.98478,35,86764.1553,444508.7701,25.17385996,165.4588818
4.393962,51.98456,36,86770.14023,444484.2087,25.28158518,165.5221257
4.394054,51.984341,37,86776.12674,444459.7585,25.17387371,165.4587447
4.394146,51.984119,38,86782.10875,444434.9746,25.49712685,165.6470094
4.394241,51.983898,40,86788.29842,444410.2991,25.44144779,165.1351361
4.394335,51.983677,41,86794.41947,444385.6246,25.42391678,165.2847145
4.39443,51.983456,42,86800.60927,444360.9491,25.44146248,165.1349952
4.394524,51.983234,43,86806.72892,444336.1633,25.53156422,165.3480019
4.39462,51.98301,44,86812.98299,444311.1532,25.7817396,165.1775893
4.394716,51.982783,45,86819.23256,444285.8093,26.10458008,165.3649465
4.394815,51.982552,46,86825.6822,444260.0177,26.58743464,165.1774436
4.394915,51.982317,47,86832.19453,444233.78,27.03531824,165.2779123
4.395015,51.982083,48,86838.70845,444207.6537,26.9277271,165.2176727
4.395116,51.981846,49,86845.28658,444181.1927,27.26802471,165.2569682
4.395218,51.981608,50,86851.93196,444154.6195,27.39314791,165.1771434
4.39532,51.981369,51,86858.5759,444127.935,27.5007353,165.2363737
4.395421,51.981131,52,86865.15274,444101.3628,27.37566798,165.3160061
4.395523,51.980891,53,86871.79531,444074.5671,27.60836025,165.2950669
4.395625,51.980652,54,86878.43947,444047.8827,27.50076066,165.2361465
4.395726,51.980416,55,86885.01957,444021.5329,27.16048596,165.1967812
4.395826,51.980181,56,86891.53256,443995.2954,27.03539206,165.2772374
4.395926,51.979948,57,86898.04866,443969.2804,26.82023235,165.1563447
4.396025,51.979716,58,86904.49765,443943.3776,26.69511154,165.2376401
4.396123,51.979485,59,86910.87953,443917.587,26.57004478,165.3197028
4.396222,51.979253,60,86917.32866,443891.6842,26.69512744,165.2374934
4.39629,51.979094,61,86921.75894,443873.9317,18.29801618,165.2060574
4.396421,51.978793,63,86930.3019,443840.3227,34.67981333,164.9567654
4.39652,51.978563,64,86936.75428,443814.6424,26.48002392,165.1145793
4.39662,51.978333,65,86943.27543,443788.9612,26.4977661,164.9709184
4.396718,51.978106,66,86949.6638,443763.6156,26.13979702,165.0720329
4.396816,51.977881,67,86956.05527,443738.4926,25.92484477,164.9452662
