,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,5,0.0,0.722,827,445,414,32,0.963,0.518
1,"[0, 1, 3, 4]",all,5,0.1,0.749,826,399,460,33,0.962,0.464
2,"[0, 1, 3, 4]",all,5,0.2,0.768,820,359,500,39,0.955,0.418
3,"[0, 1, 3, 4]",all,5,0.30000000000000004,0.794,816,311,548,43,0.95,0.362
4,"[0, 1, 3, 4]",all,5,0.4,0.817,813,269,590,46,0.946,0.313
5,"[0, 1, 3, 4]",all,5,0.5,0.831,812,243,616,47,0.945,0.283
6,"[0, 1, 3, 4]",all,5,0.6000000000000001,0.85,807,205,654,52,0.939,0.239
7,"[0, 1, 3, 4]",all,5,0.7000000000000001,0.867,801,171,688,58,0.932,0.199
8,"[0, 1, 3, 4]",all,5,0.8,0.873,794,153,706,65,0.924,0.178
9,"[0, 1, 3, 4]",all,5,0.9,0.875,784,139,720,75,0.913,0.162
10,"[0, 1, 3, 4]",all,5,1.0,0.879,780,129,730,79,0.908,0.15
11,"[0, 1, 3, 4]",all,5,1.1,0.89,776,106,753,83,0.903,0.123
12,"[0, 1, 3, 4]",all,5,1.2000000000000002,0.899,774,88,771,85,0.901,0.102
13,"[0, 1, 3, 4]",all,5,1.3,0.902,767,77,782,92,0.893,0.09
14,"[0, 1, 3, 4]",all,5,1.4000000000000001,0.9,757,70,789,102,0.881,0.081
15,"[0, 1, 3, 4]",all,5,1.5,0.897,746,64,795,113,0.868,0.075
16,"[0, 1, 3, 4]",all,5,1.6,0.889,727,58,801,132,0.846,0.068
17,"[0, 1, 3, 4]",all,5,1.7000000000000002,0.886,718,54,805,141,0.836,0.063
18,"[0, 1, 3, 4]",all,5,1.8,0.88,702,49,810,157,0.817,0.057
19,"[0, 1, 3, 4]",all,5,1.9000000000000001,0.876,689,43,816,170,0.802,0.05
20,"[0, 1, 3, 4]",all,5,2.0,0.868,673,40,819,186,0.783,0.047
21,"[0, 1, 3, 4]",all,5,2.1,0.863,658,35,824,201,0.766,0.041
22,"[0, 1, 3, 4]",all,5,2.2,0.846,628,34,825,231,0.731,0.04
23,"[0, 1, 3, 4]",all,5,2.3000000000000003,0.824,587,30,829,272,0.683,0.035
24,"[0, 1, 3, 4]",all,5,2.4000000000000004,0.809,558,27,832,301,0.65,0.031
25,"[0, 1, 3, 4]",all,5,2.5,0.788,522,27,832,337,0.608,0.031
26,"[0, 1, 3, 4]",all,5,2.6,0.768,487,26,833,372,0.567,0.03
27,"[0, 1, 3, 4]",all,5,2.7,0.744,443,24,835,416,0.516,0.028
28,"[0, 1, 3, 4]",all,5,2.8000000000000003,0.723,404,21,838,455,0.47,0.024
29,"[0, 1, 3, 4]",all,5,2.9000000000000004,0.704,369,19,840,490,0.43,0.022
