,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.0,0.681,32,19,17,4,0.889,0.528
1,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.1,0.681,32,19,17,4,0.889,0.528
2,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.2,0.681,31,18,18,5,0.861,0.5
3,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.30000000000000004,0.681,31,18,18,5,0.861,0.5
4,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.4,0.681,31,18,18,5,0.861,0.5
5,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.5,0.694,31,17,19,5,0.861,0.472
6,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.6000000000000001,0.694,31,17,19,5,0.861,0.472
7,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.7000000000000001,0.694,31,17,19,5,0.861,0.472
8,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.8,0.681,30,17,19,6,0.833,0.472
9,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,0.9,0.694,30,16,20,6,0.833,0.444
10,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.0,0.694,30,16,20,6,0.833,0.444
11,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.1,0.694,30,16,20,6,0.833,0.444
12,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.2000000000000002,0.694,30,16,20,6,0.833,0.444
13,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.3,0.681,29,16,20,7,0.806,0.444
14,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.4000000000000001,0.708,29,14,22,7,0.806,0.389
15,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.5,0.708,29,14,22,7,0.806,0.389
16,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.6,0.736,29,12,24,7,0.806,0.333
17,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.7000000000000002,0.722,28,12,24,8,0.778,0.333
18,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.8,0.722,28,12,24,8,0.778,0.333
19,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",5,1.9000000000000001,0.722,27,11,25,9,0.75,0.306
