,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",3,0.0,0.75,231,113,123,5,0.979,0.479
1,"[0, 1, 3, 4]","['A', 'M']",3,0.1,0.801,228,86,150,8,0.966,0.364
2,"[0, 1, 3, 4]","['A', 'M']",3,0.2,0.837,227,68,168,9,0.962,0.288
3,"[0, 1, 3, 4]","['A', 'M']",3,0.30000000000000004,0.862,225,54,182,11,0.953,0.229
4,"[0, 1, 3, 4]","['A', 'M']",3,0.4,0.892,224,39,197,12,0.949,0.165
5,"[0, 1, 3, 4]","['A', 'M']",3,0.5,0.907,221,29,207,15,0.936,0.123
6,"[0, 1, 3, 4]","['A', 'M']",3,0.6000000000000001,0.922,220,21,215,16,0.932,0.089
7,"[0, 1, 3, 4]","['A', 'M']",3,0.7000000000000001,0.932,218,14,222,18,0.924,0.059
8,"[0, 1, 3, 4]","['A', 'M']",3,0.8,0.936,214,8,228,22,0.907,0.034
9,"[0, 1, 3, 4]","['A', 'M']",3,0.9,0.936,213,7,229,23,0.903,0.03
10,"[0, 1, 3, 4]","['A', 'M']",3,1.0,0.928,208,6,230,28,0.881,0.025
11,"[0, 1, 3, 4]","['A', 'M']",3,1.1,0.909,199,6,230,37,0.843,0.025
12,"[0, 1, 3, 4]","['A', 'M']",3,1.2000000000000002,0.89,190,6,230,46,0.805,0.025
13,"[0, 1, 3, 4]","['A', 'M']",3,1.3,0.862,176,5,231,60,0.746,0.021
14,"[0, 1, 3, 4]","['A', 'M']",3,1.4000000000000001,0.816,153,4,232,83,0.648,0.017
15,"[0, 1, 3, 4]","['A', 'M']",3,1.5,0.784,137,3,233,99,0.581,0.013
16,"[0, 1, 3, 4]","['A', 'M']",3,1.6,0.758,124,2,234,112,0.525,0.008
17,"[0, 1, 3, 4]","['A', 'M']",3,1.7000000000000002,0.708,100,2,234,136,0.424,0.008
18,"[0, 1, 3, 4]","['A', 'M']",3,1.8,0.65,72,1,235,164,0.305,0.004
19,"[0, 1, 3, 4]","['A', 'M']",3,1.9000000000000001,0.612,54,1,235,182,0.229,0.004
