,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.0,0.718,600,328,295,23,0.963,0.526
1,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.1,0.742,598,297,326,25,0.96,0.477
2,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.2,0.758,596,274,349,27,0.957,0.44
3,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.30000000000000004,0.781,594,244,379,29,0.953,0.392
4,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.4,0.795,592,224,399,31,0.95,0.36
5,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.5,0.804,591,212,411,32,0.949,0.34
6,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.6000000000000001,0.819,587,190,433,36,0.942,0.305
7,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.7000000000000001,0.831,583,170,453,40,0.936,0.273
8,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.8,0.839,578,155,468,45,0.928,0.249
9,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,0.9,0.852,572,133,490,51,0.918,0.213
10,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.0,0.864,568,114,509,55,0.912,0.183
11,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.1,0.871,564,102,521,59,0.905,0.164
12,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.2000000000000002,0.876,559,91,532,64,0.897,0.146
13,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.3,0.883,553,76,547,70,0.888,0.122
14,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.4000000000000001,0.887,551,69,554,72,0.884,0.111
15,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.5,0.89,550,64,559,73,0.883,0.103
16,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.6,0.888,544,60,563,79,0.873,0.096
17,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.7000000000000002,0.884,536,57,566,87,0.86,0.091
18,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.8,0.884,530,52,571,93,0.851,0.083
19,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",6,1.9000000000000001,0.879,522,50,573,101,0.838,0.08
