trip_nr,dev_nr,sections,trip_name,signal_name,EWM_SPAN,LOOKBACK_DISTDIFF,LANE_CHANGE_DURATION,ROLLING_SUM_SIZE,CUTOFF_THRESHOLD,precision,recall,f1,timestamp
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.65,0.4936708860759494,0.5611510791366906,2022-02-09 14:31:11
1,4,all,02 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.5526315789473685,0.5753424657534246,0.5637583892617449,2022-02-09 14:31:11
0,4,all,01 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.6744186046511628,0.5178571428571429,0.5858585858585859,2022-02-09 14:31:11
2,3,all,03 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.5526315789473685,0.5526315789473685,0.5526315789473685,2022-02-09 14:31:11
1,3,all,02 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.4891304347826087,0.6164383561643836,0.5454545454545454,2022-02-09 14:31:11
0,3,all,01 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.484375,0.5849056603773585,0.5299145299145299,2022-02-09 14:31:10
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.6792452830188679,0.45569620253164556,0.5454545454545454,2022-02-09 14:31:10
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.6388888888888888,0.6216216216216216,0.6301369863013698,2022-02-09 14:31:10
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.5833333333333334,0.509090909090909,0.5436893203883495,2022-02-09 14:31:10
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.5645161290322581,0.4605263157894737,0.5072463768115942,2022-02-09 14:31:10
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.5416666666666666,0.5342465753424658,0.5379310344827586,2022-02-09 14:31:10
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.5434782608695652,0.43859649122807015,0.4854368932038835,2022-02-09 14:31:10
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.5999999999999996,0.6351351351351351,0.5949367088607594,0.6143790849673203,2022-02-09 14:31:10
