,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,8,1.4999999999999996,0.895,767,89,770,92,0.893,0.104
1,"[0, 1, 3, 4]",all,7,1.5999999999999996,0.888,752,86,773,107,0.875,0.1
2,"[0, 1, 3, 4]",all,6,1.4999999999999996,0.905,765,69,790,94,0.891,0.08
3,"[0, 1, 3, 4]",all,5,1.2999999999999994,0.902,767,77,782,92,0.893,0.09
4,"[0, 1, 3, 4]",all,4,1.1999999999999993,0.899,747,62,797,112,0.87,0.072
5,"[0, 1, 3, 4]",all,3,0.7999999999999996,0.88,745,93,766,114,0.867,0.108
6,"[0, 1, 3, 4]",all,2,0.3999999999999997,0.868,740,107,752,119,0.861,0.125
7,"[0, 1, 3, 4]",all,8,1.4999999999999996,0.895,767,89,770,92,0.893,0.104
8,"[0, 1, 3, 4]",all,7,1.5999999999999996,0.888,752,86,773,107,0.875,0.1
9,"[0, 1, 3, 4]",all,6,1.4999999999999996,0.905,765,69,790,94,0.891,0.08
10,"[0, 1, 3, 4]",all,5,1.2999999999999994,0.902,767,77,782,92,0.893,0.09
11,"[0, 1, 3, 4]",all,4,1.1999999999999993,0.899,747,62,797,112,0.87,0.072
12,"[0, 1, 3, 4]",all,3,0.7999999999999996,0.88,745,93,766,114,0.867,0.108
13,"[0, 1, 3, 4]",all,2,0.3999999999999997,0.868,740,107,752,119,0.861,0.125
14,"[0, 1, 3, 4]",all,8,1.4999999999999996,0.895,767,89,770,92,0.893,0.104
15,"[0, 1, 3, 4]",all,7,1.5999999999999996,0.888,752,86,773,107,0.875,0.1
16,"[0, 1, 3, 4]",all,6,1.4999999999999996,0.905,765,69,790,94,0.891,0.08
17,"[0, 1, 3, 4]",all,5,1.2999999999999994,0.902,767,77,782,92,0.893,0.09
18,"[0, 1, 3, 4]",all,4,1.1999999999999993,0.899,747,62,797,112,0.87,0.072
19,"[0, 1, 3, 4]",all,3,0.7999999999999996,0.88,745,93,766,114,0.867,0.108
20,"[0, 1, 3, 4]",all,2,0.3999999999999997,0.868,740,107,752,119,0.861,0.125
21,"[0, 1, 3, 4]",all,8,1.4999999999999996,0.895,767,89,770,92,0.893,0.104
22,"[0, 1, 3, 4]",all,7,1.5999999999999996,0.888,752,86,773,107,0.875,0.1
23,"[0, 1, 3, 4]",all,6,1.4999999999999996,0.905,765,69,790,94,0.891,0.08
24,"[0, 1, 3, 4]",all,5,1.2999999999999994,0.902,767,77,782,92,0.893,0.09
25,"[0, 1, 3, 4]",all,4,1.1999999999999993,0.899,747,62,797,112,0.87,0.072
26,"[0, 1, 3, 4]",all,3,0.7999999999999996,0.88,745,93,766,114,0.867,0.108
27,"[0, 1, 3, 4]",all,2,0.3999999999999997,0.868,740,107,752,119,0.861,0.125
28,"[0, 1, 3, 4]",all,8,1.4999999999999996,0.895,767,89,770,92,0.893,0.104
29,"[0, 1, 3, 4]",all,7,1.5999999999999996,0.888,752,86,773,107,0.875,0.1
30,"[0, 1, 3, 4]",all,6,1.4999999999999996,0.905,765,69,790,94,0.891,0.08
31,"[0, 1, 3, 4]",all,5,1.2999999999999994,0.902,767,77,782,92,0.893,0.09
32,"[0, 1, 3, 4]",all,4,1.1999999999999993,0.899,747,62,797,112,0.87,0.072
33,"[0, 1, 3, 4]",all,3,0.7999999999999996,0.88,745,93,766,114,0.867,0.108
34,"[0, 1, 3, 4]",all,2,0.3999999999999997,0.868,740,107,752,119,0.861,0.125
35,"[0, 1, 3, 4]",all,8,-0.40000000000000013,0.647,811,559,300,48,0.944,0.651
36,"[0, 1, 3, 4]",all,7,-0.30000000000000016,0.64,794,553,306,65,0.924,0.644
37,"[0, 1, 3, 4]",all,6,-0.30000000000000016,0.655,811,545,314,48,0.944,0.634
38,"[0, 1, 3, 4]",all,5,-0.20000000000000018,0.65,795,538,321,64,0.925,0.626
