,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",5,0.0,0.761,229,106,130,7,0.97,0.449
1,"[0, 1, 3, 4]","['A', 'M']",5,0.1,0.784,228,94,142,8,0.966,0.398
2,"[0, 1, 3, 4]","['A', 'M']",5,0.2,0.803,228,85,151,8,0.966,0.36
3,"[0, 1, 3, 4]","['A', 'M']",5,0.30000000000000004,0.814,228,80,156,8,0.966,0.339
4,"[0, 1, 3, 4]","['A', 'M']",5,0.4,0.852,227,61,175,9,0.962,0.258
5,"[0, 1, 3, 4]","['A', 'M']",5,0.5,0.862,227,56,180,9,0.962,0.237
6,"[0, 1, 3, 4]","['A', 'M']",5,0.6000000000000001,0.888,225,42,194,11,0.953,0.178
7,"[0, 1, 3, 4]","['A', 'M']",5,0.7000000000000001,0.913,224,29,207,12,0.949,0.123
8,"[0, 1, 3, 4]","['A', 'M']",5,0.8,0.924,223,23,213,13,0.945,0.097
9,"[0, 1, 3, 4]","['A', 'M']",5,0.9,0.93,222,19,217,14,0.941,0.081
10,"[0, 1, 3, 4]","['A', 'M']",5,1.0,0.93,221,18,218,15,0.936,0.076
11,"[0, 1, 3, 4]","['A', 'M']",5,1.1,0.934,219,14,222,17,0.928,0.059
12,"[0, 1, 3, 4]","['A', 'M']",5,1.2000000000000002,0.939,218,11,225,18,0.924,0.047
13,"[0, 1, 3, 4]","['A', 'M']",5,1.3,0.945,217,7,229,19,0.919,0.03
14,"[0, 1, 3, 4]","['A', 'M']",5,1.4000000000000001,0.943,215,6,230,21,0.911,0.025
15,"[0, 1, 3, 4]","['A', 'M']",5,1.5,0.941,211,3,233,25,0.894,0.013
16,"[0, 1, 3, 4]","['A', 'M']",5,1.6,0.932,207,3,233,29,0.877,0.013
17,"[0, 1, 3, 4]","['A', 'M']",5,1.7000000000000002,0.928,205,3,233,31,0.869,0.013
18,"[0, 1, 3, 4]","['A', 'M']",5,1.8,0.915,199,3,233,37,0.843,0.013
19,"[0, 1, 3, 4]","['A', 'M']",5,1.9000000000000001,0.911,197,3,233,39,0.835,0.013
