,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.0,0.734,599,307,316,24,0.961,0.493
1,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.1,0.752,596,282,341,27,0.957,0.453
2,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.2,0.77,593,256,367,30,0.952,0.411
3,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.30000000000000004,0.789,590,230,393,33,0.947,0.369
4,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.4,0.791,583,220,403,40,0.936,0.353
5,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.5,0.808,582,198,425,41,0.934,0.318
6,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.6000000000000001,0.819,580,182,441,43,0.931,0.292
7,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.7000000000000001,0.832,579,165,458,44,0.929,0.265
8,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.8,0.841,577,152,471,46,0.926,0.244
9,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,0.9,0.845,572,142,481,51,0.918,0.228
10,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.0,0.856,569,126,497,54,0.913,0.202
11,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.1,0.859,563,116,507,60,0.904,0.186
12,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.2000000000000002,0.861,560,110,513,63,0.899,0.177
13,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.3,0.865,557,102,521,66,0.894,0.164
14,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.4000000000000001,0.871,553,91,532,70,0.888,0.146
15,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.5,0.872,551,87,536,72,0.884,0.14
16,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.6,0.874,543,77,546,80,0.872,0.124
17,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.7000000000000002,0.876,539,70,553,84,0.865,0.112
18,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.8,0.878,535,64,559,88,0.859,0.103
19,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",8,1.9000000000000001,0.878,527,56,567,96,0.846,0.09
