trip_nr,dev_nr,sections,trip_name,signal_name,EWM_SPAN,LOOKBACK_DISTDIFF,LANE_CHANGE_DURATION,ROLLING_SUM_SIZE,CUTOFF_THRESHOLD,precision,recall,f1,timestamp
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.6792452830188679,0.45569620253164556,0.5454545454545454,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.5999999999999996,0.7241379310344828,0.5316455696202531,0.6131386861313869,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.7368421052631579,0.717948717948718,0.7272727272727273,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.7294117647058823,0.7848101265822784,0.7560975609756098,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.7126436781609196,0.7948717948717948,0.7515151515151515,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.6907216494845361,0.8481012658227848,0.7613636363636364,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.6666666666666666,0.9113924050632911,0.7700534759358288,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.6440677966101694,0.9620253164556962,0.7715736040609137,2022-01-30 15:29:19
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset,3,5,8,1,2.8,0.6867469879518072,0.7307692307692307,0.7080745341614907,2022-01-30 15:27:31
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset,3,5,8,1,2.5999999999999996,0.6739130434782609,0.7948717948717948,0.7294117647058823,2022-01-30 15:27:31
